solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
5_116_5,ooh_S,219017.459088832,6556600.3437899,0.0397155875442414,71267.3950411945,0.0165437411390397,6556600.3437899,0.0397155875442414,71267.3950411945,0.0165437411390397,TRUE,0.310911157955088,0.328604458856254,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,10240536,262577.846153846,0.310911157955088,0.328604458856254,0.378941919742726,0.640259488740619,1.56186673932312,99501.7531034487,0.10511640542245
5_116_5,print_S,353261.122274039,3747249.14898108,0.0226983793159517,40730.969010664,0.00945513172279095,3747249.14898108,0.0226983793159517,40730.969010664,0.00945513172279095,TRUE,0.0848043521333921,0.187805068821493,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,2793216,77589.3333333333,0.0848043521333921,0.187805068821493,1.3371600252977,1.34155366036178,0.745404399053504,103749.354922832,1.48008892331563
5_116_5,search_S,49548.5037885507,2016193.38977133,0.0122127780982452,21915.1455409927,0.00508729826093678,2016193.38977133,0.0122127780982452,21915.1455409927,0.00508729826093678,TRUE,0.111321014032676,0.101047814882126,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,3666600,47618.1818181818,0.111321014032676,0.101047814882126,0.54253911963291,0.549880922318041,1.818575548656,25834.7264421562,0.351219768126612
5_116_5,season,0.35891004851033,-2892095.22553964,-0.01751841733422,-31435.8176689091,-0.00729739075923668,-2892095.22553964,-0.01751841733422,-31435.8176689091,-0.00729739075923668,FALSE,,,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,,,,,,,,,
5_116_5,trend,-0.350939662524439,-97127286.2593996,-0.588333440824007,0,0,-97127286.2593996,-0.588333440824007,0,0,FALSE,,,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,,,,,,,,,
5_116_5,tv_S,503052.013966754,6872170.06114626,0.0416271020607314,74697.5006646333,0.0173399927696898,6872170.06114626,0.0416271020607314,74697.5006646333,0.0173399927696898,TRUE,0.311135800761756,0.344420218665608,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,10247935.1,256198.3775,0.311135800761756,0.344420218665608,0.541945600520384,0.670590708673229,1.49122256999133,138845.583546585,0.542345345776994
5_122_12,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,,,,,,,,,
5_122_12,competitor_sales_B,0.164192662636084,80366539.2869687,0.486686037260708,873549.340075747,0.27293601448909,80366539.2869687,0.486686037260708,873549.340075747,0.27293601448909,TRUE,,,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,,,,,,,,,
5_122_12,events,0.966477977294385,1168315.1596649,0.00707511708695812,1168315.1596649,0.36503408418633,1168315.1596649,0.00707511708695812,1168315.1596649,0.36503408418633,TRUE,,,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,,,,,,,,,
5_122_12,facebook_S,78327.6826187008,1719086.66794914,0.0104104952826747,18685.7246516211,0.00583825890568672,1719086.66794914,0.0104104952826747,18685.7246516211,0.00583825890568672,TRUE,0.181827675117088,0.0966388754898225,0,0.0567966242071726,0.102566511361477,0.93746026539985,149419.303702875,0.00218208772445605,65481090.2533626,12,122,0,5,1464,3,5988890.41190929,136111.145725211,0.181827675117088,0.0966388754898225,0.229682510695208,0.287045938347883,3.48376293270543,31262.3496837678,0.120650311557256
