solID,mape,decomp.rssd,nrmse,tv_S,ooh_S,print_S,facebook_S,search_S,cluster,top_sol
2_147_4,0,0.183332503411728,0.0541271832587036,0.299508541806866,0.350770084070282,0.437633966408184,0.144365544526654,0.525480028290264,2,TRUE
2_148_2,0,0.150176337389344,0.0548598107972028,0.240889649668983,0.391723052417524,0.559206678801526,0.34646336533598,0.759552852651054,1,FALSE
2_149_4,0,0.234932628376839,0.0526687731186788,0.219692842995089,0.742372474904558,0.506019158021327,0,0.349257338360344,2,FALSE
2_150_1,0,0.221975391573051,0.0529812895396686,0.208964609261892,0.297270209679951,0.437588257493609,0,0.535415156752133,2,FALSE
2_150_10,0,0.103202446861649,0.0563206486122895,0.500413053512245,0.376336094792566,0.27716471711141,0.497972892519106,0.609923860246049,4,FALSE
2_150_12,0,0.241902729360106,0.0525238732364288,0.261195691284419,0.702547605661517,0.455327287683287,0,0.240529928157619,2,FALSE
2_151_4,0,0.162868356651996,0.0545136220656379,0.401577303146017,0.731097561262193,0.406486405528627,0.189266013347975,0.829350847926126,1,FALSE
2_151_5,0,0.029420536354859,0.0613662587146487,0.187461339997153,0.45255927379823,0.0221603683658689,0.831956702620011,0.70519812465238,3,FALSE
2_152_4,0,0.306597892899788,0.0514911214411876,0.169757596017972,0,0.507430532801332,0,0.0308874969943755,2,FALSE
2_153_10,0,0.167311659066353,0.0546216355023585,0.241232809993898,0.792695237585625,0.337124529557721,0.182393239103107,0.783903132173661,1,FALSE
2_153_3,0,0.206937454783824,0.0537165016144453,0.488127473722803,0.485907297873202,0.631343072428492,0.068560346669032,0.671413642754613,1,FALSE
2_153_6,0,0.241560685723876,0.0523347478692429,0.274786767561012,0.364836827549342,0.531762574990885,0,0.299003998879787,2,FALSE
2_155_10,0,0.103597901661279,0.0563503934669973,0.502131418629382,0.373718446803631,0.278451492234926,0.498448031655979,0.608384034535483,4,FALSE
2_155_12,0,0.244362849800467,0.0519455593491769,0.308136447635899,0.342103888156438,0.5433651035198,0,0.293277274465815,2,FALSE
2_155_9,0,0.238724744946928,0.0526330645169105,0.0835481149608613,0.325962458115084,0.575664801939463,0,0.400456671375431,2,FALSE
2_157_4,0,0.301522584877768,0.0514442883256586,0.168273146107409,0.0535609579841803,0.451175274018976,0,0,2,FALSE
2_158_1,0,0.209832426694336,0.0537059698292565,0.484024501168891,0.34222310859496,0.571768832069691,0.0742827507012913,0.721564738759885,1,FALSE
2_158_10,0,0.141170579419343,0.0548179425173308,0.631335981103028,0.67455100263811,0.331766399920968,0.284542446466151,0.681884786332238,1,FALSE
2_158_2,0,0.151321603438694,0.0547817472864186,0.245731066420724,0.335180452673691,0.556214062700374,0.354566010217461,0.735686959172605,1,FALSE
2_158_3,0,0.230142289456572,0.0526517052117562,0.393108055974147,0.625921869118675,0.674254370535888,0,0.460839433555821,2,FALSE
2_159_10,0,0.291851847352906,0.0510922466778099,0.226283552305594,0.290340968353655,0.63538523086962,0,0,2,FALSE
2_160_10,0,0.156005354040386,0.0548555047163464,0.512729831122254,0.430195081724141,0.498792619911031,0.2826427715543,0.690759699743223,1,FALSE
2_160_12,0,0.225656580878081,0.0529924192613574,0.117075914482291,0.280957481462014,0.502216119917707,0,0.599686563794887,2,FALSE
2_162_2,0,0.166561029361894,0.0544606026566897,0.786442746351388,0.930968074266158,0.487934393475704,0.185809558085363,0.8358019045036,1,FALSE
2_163_1,0,0.19995710744769,0.0534243569364864,0.438274516369026,0.412428455921768,0.532740775089521,0.083186731686791,0.708316079279082,1,FALSE
2_163_10,0,0.143991844676831,0.055021617366697,0.456079100503224,0.634897039482611,0.390947549549148,0.29335445897053,0.956616164324945,1,FALSE
2_163_2,0,0.120665429073311,0.0555411938234981,0.203485534121205,0.200254238399759,0.288108873528904,0.400877784149815,0.629570056648286,4,FALSE
